,playlist_id,track_uri,pos
0,299,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,0
1,299,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,1
2,299,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,2
3,299,spotify:track:1AWQoqb9bSvzTjaLralEkT,3
4,299,spotify:track:1lzr43nnXAijIGYnCT8M8H,4
5,299,spotify:track:0XUfyU2QviPAs6bxSpXYG4,5
6,299,spotify:track:68vgtRHr7iZHpzGpon6Jlo,6
7,299,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,7
8,299,spotify:track:7H6ev70Weq6DdpZyyTmUXk,8
9,299,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,9
10,299,spotify:track:2gam98EZKrF9XuOkU13ApN,10
11,299,spotify:track:4Y45aqo9QMa57rDsAJv40A,11
12,299,spotify:track:1HwpWwa6bnqqRhK8agG4RS,12
13,299,spotify:track:20ORwCJusz4KS2PbTPVNKo,13
14,299,spotify:track:7k6IzwMGpxnRghE7YosnXT,14
15,299,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,15
16,299,spotify:track:4omisSlTk6Dsq2iQD7MA07,16
17,299,spotify:track:7xYnUQigPoIDAMPVK79NEq,17
18,299,spotify:track:6d8A5sAx9TfdeseDvfWNHd,18
19,299,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,19
20,299,spotify:track:215JYyyUnrJ98NK3KEwu6d,20
21,299,spotify:track:0uqPG793dkDDN7sCUJJIVC,21
22,299,spotify:track:19Js5ypV6JKn4DMExHQbGc,22
23,299,spotify:track:1JURww012QnWAw0zZXi6Aa,23
24,299,spotify:track:7DFnq8FYhHMCylykf6ZCxA,24
25,299,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,25
26,299,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,26
27,299,spotify:track:6MjljecHzHelUDismyKkba,27
28,299,spotify:track:67T6l4q3zVjC5nZZPXByU8,28
29,299,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,29
30,299,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,30
31,299,spotify:track:6GIrIt2M39wEGwjCQjGChX,31
32,299,spotify:track:4E5P1XyAFtrjpiIxkydly4,32
33,299,spotify:track:3H1LCvO3fVsK2HPguhbml0,33
34,299,spotify:track:3uoQULcUWfnt6nc6J7Vgai,34
35,299,spotify:track:2nbClS09zsIAqNkshg6jnp,35
36,299,spotify:track:69ghzc538EQSVon2Gm3wrr,36
37,299,spotify:track:1kusepF3AacIEtUTYrw4GV,37
38,299,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,38
39,299,spotify:track:12qZHAeOyTf93YAWvGDTat,39
40,299,spotify:track:2jFlMILIQzs7lSFudG9lbo,40
41,299,spotify:track:4I2GqMe7L2ccMpUbnDzYLH,41
42,299,spotify:track:5lDriBxJd22IhOH9zTcFrV,42
43,299,spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,43
44,299,spotify:track:5y69gQtK33qxb8a24ACkCy,44
45,299,spotify:track:1X5WGCrUMuwRFuYU1eAo2I,45
46,299,spotify:track:3utIAb67sOu0QHxBE88P1M,46
47,299,spotify:track:3jkdQNkDTxxXtjSO4l0o1H,47
48,299,spotify:track:5c1sfI6wIQEsSUw0xrkFdl,48
49,299,spotify:track:6sqNctd7MlJoKDOxPVCAvU,49
50,299,spotify:track:1b7vg5T9YKR3NNqXfBYRF7,50
51,299,spotify:track:6GIrIt2M39wEGwjCQjGChX,51
52,44,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,0
53,44,spotify:track:1MYYt7h6amcrauCOoso3Gx,1
54,44,spotify:track:3x2mJ2bjCIU70NrH49CtYR,2
55,44,spotify:track:1Pm3fq1SC6lUlNVBGZi3Em,3
56,44,spotify:track:1NXTEkIeRL59NK61QuhYUl,4
57,44,spotify:track:3RGlJJFkWEavxeRQr9ivAd,5
58,44,spotify:track:0e9hR1vTrzlUvFH5PgA9rY,6
59,44,spotify:track:7dkbEHIMLoeuG4zXGmzhEH,7
60,44,spotify:track:7nZnCjIJ8JigdMqJ36yRRm,8
61,44,spotify:track:2TK2KSrzXD6W01qjXVjNGh,9
62,44,spotify:track:3nJYcY9yvKP8Oi2Ml8brXt,10
63,44,spotify:track:4TTV7EcfroSLWzXRY6gLv6,11
64,44,spotify:track:4cxvludVmQxryrnx1m9FqL,12
65,44,spotify:track:5CQ30WqJwcep0pYcV4AMNc,13
66,44,spotify:track:1HZ3cUZUw5htSFmah1V8Ko,14
67,44,spotify:track:43pmQcgxMMhJu1gPW2ZdNz,15
68,44,spotify:track:6Vz7vzOpCwKeSQlfViibuY,16
69,44,spotify:track:4sFbojhVXQv7dBC9PVCcRn,17
70,44,spotify:track:1dv3ePjze9tPq2pk8eWJdR,18
71,44,spotify:track:5EWPGh7jbTNO2wakv8LjUI,19
72,44,spotify:track:1GqlvSEtMx5xbGptxOTTyk,20
